用例ID,模块,接口名称,用例标题,请求方法,请求路径,请求头,请求体,前置条件,测试步骤,预期结果,优先级,备注,结果
COMMUNITY-037,社区分享-评论相关,创建子评论,正常创建子评论,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""createComment"",""data"": {""post_id"": {{new_post_id}},""content"": ""这是子评论"",""parent_id"": 1}}",一级评论已创建,1.提交子评论请求 2.检查子评论创建,返回code=1，子评论关联正确,高,正常流程,PASS
COMMUNITY-038,社区分享-评论相关,获取评论列表,正常获取评论列表,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""getCommentList"",""data"": {""post_id"": {{new_post_id}},""page"": 1,""page_size"": 20}}",帖子已创建,1.请求评论列表 2.检查返回数据,返回code=1，包含评论列表,高,正常流程,PASS
COMMUNITY-039,社区分享-评论相关,获取子评论列表,正常获取子评论,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""getSubCommentList"",""data"": {""parent_id"": 1,""page"": 1,""page_size"": 20}}",一级评论已创建,1.请求子评论列表 2.检查返回数据,返回code=1，包含子评论列表,中,正常流程,PASS
COMMUNITY-040,社区分享-评论相关,删除评论,正常删除评论,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""deleteComment"",""data"": {""comment_id"": 1}}",评论已创建,1.删除评论请求 2.检查删除结果,返回code=1，删除成功,高,正常流程,PASS
COMMUNITY-041,社区分享-评论相关,删除评论-非评论作者,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""deleteComment"",""data"": {""comment_id"": 1}}",已登录,1.尝试删除他人评论 2.检查权限校验,返回错误提示,中,异常流程,PASS
COMMUNITY-042,社区分享-评论相关,点赞评论,正常点赞评论,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""likeComment"",""data"": {""comment_id"": 1}}",评论已创建,1.点赞评论请求 2.检查点赞结果,返回code=1，点赞数+1,中,正常流程,PASS
COMMUNITY-043,社区分享-评论相关,置顶评论,正常置顶评论,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""pinComment"",""data"": {""comment_id"": 1}}",是帖子作者,1.置顶评论请求 2.检查置顶结果,返回code=1，评论被置顶,中,正常流程,PASS
COMMUNITY-044,社区分享-评论相关,置顶评论-非帖子作者,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""pinComment"",""data"": {""comment_id"": 1}}",不是帖子作者,1.非作者尝试置顶 2.检查权限校验,返回错误提示,中,异常流程,PASS
COMMUNITY-045,社区分享-评论相关,取消置顶,正常取消置顶,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""unpinComment"",""data"": {""comment_id"": 1}}",评论已置顶,1.取消置顶请求 2.检查取消结果,返回code=1，取消置顶,中,正常流程,PASS
COMMUNITY-046,社区分享-评论相关,取消点赞评论,正常取消点赞,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""unlikeComment"",""data"": {""comment_id"": 1}}",评论已点赞,1.取消点赞请求 2.检查取消结果,返回code=1,中,正常流程,PASS
COMMUNITY-047,社区分享-粉丝相关,关注用户,正常关注,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""followUser"",""data"": {""user_id"": 123}}",已登录,1.提交关注请求 2.检查关注结果,返回code=1，关注成功,高,正常流程,PASS
COMMUNITY-048,社区分享-粉丝相关,关注用户,重复关注,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""followUser"",""data"": {""user_id"": 123}}",已关注,1.重复关注同一用户 2.检查幂等性,返回code=1或错误提示,中,异常流程,PASS
COMMUNITY-049,社区分享-粉丝相关,关注用户,关注自己,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""followUser"",""data"": {""user_id"": {{current_user_id}}}}",已登录,1.尝试关注自己 2.检查业务校验,返回错误提示,中,异常流程,PASS
COMMUNITY-050,社区分享-粉丝相关,取消关注,正常取消关注,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""unfollowUser"",""data"": {""user_id"": 123}}",已关注,1.取消关注请求 2.检查取消结果,返回code=1，取消成功,高,正常流程,PASS
COMMUNITY-051,社区分享-粉丝相关,取消关注-未关注,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""unfollowUser"",""data"": {""user_id"": 123}}",未关注,1.取消未关注用户 2.检查错误处理,返回错误提示,中,异常流程,PASS
COMMUNITY-052,社区分享-粉丝相关,获取关注列表,正常获取关注列表,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""getFollowingList"",""data"": {""user_id"": {{current_user_id}},""page"": 1,""page_size"": 20}}",已登录,1.请求关注列表 2.检查返回数据,返回code=1，包含关注列表,中,正常流程,PASS
COMMUNITY-053,社区分享-粉丝相关,获取粉丝列表,正常获取粉丝列表,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""getFollowerList"",""data"": {""user_id"": {{current_user_id}},""page"": 1,""page_size"": 20}}",已登录,1.请求粉丝列表 2.检查返回数据,返回code=1，包含粉丝列表,中,正常流程,PASS
COMMUNITY-054,社区分享-粉丝相关,检查关注状态,正常检查状态,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""checkFollowStatus"",""data"": {""user_id"": 123}}",已登录,1.检查关注状态 2.检查返回状态,返回code=1，包含is_following字段,中,正常流程,PASS
COMMUNITY-055,社区分享-举报相关,获取举报理由,正常获取举报理由,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""getReportReasons""}",已登录,1.请求举报理由列表 2.检查返回数据,返回code=1，包含理由列表,中,正常流程,PASS
COMMUNITY-056,社区分享-举报相关,获取举报场景,正常获取举报场景,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""getReportScenes""}",已登录,1.请求举报场景列表 2.检查返回数据,返回code=1，包含场景列表,中,正常流程,PASS
COMMUNITY-057,社区分享-举报相关,举报,正常举报,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""reportContent"",""data"": {""target_type"": ""post"",""target_id"": {{new_post_id}},""reason_id"": 1,""description"": ""违规内容""}}",已登录,1.提交举报请求 2.检查举报结果,返回code=1，举报成功,高,正常流程,PASS
COMMUNITY-058,社区分享-举报相关,举报-重复举报,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""reportContent"",""data"": {""target_type"": ""post"",""target_id"": {{new_post_id}},""reason_id"": 1,""description"": ""违规内容""}}",已举报,1.重复举报同一内容 2.检查重复处理,返回错误提示,中,异常流程,PASS
COMMUNITY-059,社区分享-举报相关,举报-无效的理由ID,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""reportContent"",""data"": {""target_type"": ""post"",""target_id"": {{new_post_id}},""reason_id"": 99999,""description"": ""违规内容""}}",已登录,1.使用无效reason_id 2.检查参数校验,返回错误提示,中,异常流程,PASS
COMMUNITY-060,社区分享-举报相关,获取举报列表,正常获取举报列表,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""getReportList"",""data"": {""page"": 1,""page_size"": 20}}",已登录,1.请求举报列表 2.检查返回数据,返回code=1，包含举报列表,中,正常流程,PASS
COMMUNITY-061,社区分享-举报相关,获取举报详情,正常获取举报详情,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""getReportDetail"",""data"": {""report_id"": 1}}",已登录,1.请求举报详情 2.检查返回数据,返回code=1，包含举报详情,中,正常流程,PASS
COMMUNITY-062,社区分享-通知相关,获取通知列表,正常获取通知,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""getNotificationList"",""data"": {""page"": 1,""page_size"": 20}}",已登录,1.请求通知列表 2.检查返回数据,返回code=1，包含通知列表,高,正常流程,PASS
COMMUNITY-063,社区分享-通知相关,获取未读通知数量,正常获取未读数量,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""getUnreadNotificationCount""}",已登录,1.请求未读数量 2.检查返回数据,返回code=1，包含未读数量,高,正常流程,PASS
COMMUNITY-064,社区分享-用户信息,获取头像上传凭据,正常获取凭据,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""getAvatarUploadCredential""}",已登录,1.获取头像上传凭据 2.检查返回数据,返回code=1，包含上传凭据,中,正常流程,PASS
COMMUNITY-065,社区分享-用户信息,确认头像上传,正常确认头像,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""confirmAvatarUpload"",""data"": {""object_key"": ""{{oss_objectKey}}""}}",头像已上传,1.确认头像上传 2.检查头像更新,返回code=1，头像更新成功,中,正常流程,PASS
COMMUNITY-066,社区分享-用户信息,修改用户信息,正常修改信息,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""updateUserInfo"",""data"": {""nickname"": ""新昵称"",""signature"": ""个性签名""}}",已登录,1.提交修改请求 2.检查修改结果,返回code=1，信息更新成功,高,正常流程,PASS
COMMUNITY-067,社区分享-用户信息,修改用户信息-昵称为空,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""updateUserInfo"",""data"": {""nickname"": """",""signature"": ""个性签名""}}",已登录,1.发送空昵称 2.检查昵称校验,返回错误提示,中,异常流程,PASS
COMMUNITY-068,社区分享-用户信息,获取用户信息,正常获取用户信息,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""getUserInfo"",""data"": {""user_id"": {{current_user_id}}}}",已登录,1.请求用户信息 2.检查返回数据,返回code=1，包含用户详细信息,高,正常流程,PASS
COMMUNITY-069,社区分享-用户信息,获取用户信息-不存在的用户,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""getUserInfo"",""data"": {""user_id"": 99999}}",已登录,1.请求不存在的用户 2.检查错误处理,返回错误提示,中,异常流程,PASS
COMMUNITY-070,社区分享-用户信息,实名认证,正常实名认证,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""submitRealNameAuth"",""data"": {""real_name"": ""张三"",""id_card"": ""110101199001011234""}}",已登录,1.提交实名认证 2.检查认证结果,返回code=1，认证成功,高,正常流程,PASS
COMMUNITY-071,社区分享-用户信息,实名认证-身份证格式错误,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""submitRealNameAuth"",""data"": {""real_name"": ""张三"",""id_card"": ""123""}}",已登录,1.提交格式错误的身份证 2.检查格式校验,返回错误提示,中,异常流程,PASS
COMMUNITY-072,社区分享-用户信息,获取实名认证信息,正常获取认证信息,POST,/mbServer/community,"{""Authorization"": ""{{access_token}}""}","{""method"": ""getRealNameAuthInfo""}",已登录,1.请求认证信息 2.检查返回数据,返回code=1，包含认证状态,中,正常流程,PASS
